"SiteID","Longitude","Latitude","GPP"
"icr021063",-8.00515,37.3146,3.25532059027778
"icr021064",-8.00515,37.3146,3.25532059027778
"icr021065",-8.00415,37.3163,3.25532059027778
"icr021066",-8.00415,37.3163,3.25532059027778
"icr021074",-8.00149,37.32,3.25532059027778
"icr021077",-8.00332,37.3129,3.25532059027778
"icr021081",-8.00634,37.316,3.25532059027778
"icr021082",-8.00634,37.316,3.25532059027778
"icr021084",-8.07076,37.3306,3.25532059027778
"icr021085",-8.07345,37.3292,3.25532059027778
"icr021086",-8.07345,37.3292,3.25532059027778
"icr021090",-8.06947,37.3306,3.25532059027778
"icr021095",-8.07457,37.3307,3.25532059027778
"icr021099",-8.07111,37.335,3.09556238888889
"icr021101",-8.07364,37.3293,3.25532059027778
"icr021102",-8.07364,37.3293,3.25532059027778
"icr021103",-8.0493,37.3337,3.09556238888889
"icr021104",-8.0493,37.3337,3.09556238888889
"icr021106",-8.05179,37.3285,3.25532059027778
"icr021111",-8.04789,37.3311,3.25532059027778
"icr021112",-8.04789,37.3311,3.25532059027778
"icr021118",-8.05416,37.3298,3.25532059027778
"icr021121",-8.04807,37.329,3.25532059027778
"icr021123",-8.02355,37.3375,3.09556238888889
"icr021127",-8.02654,37.3394,3.09556238888889
"icr021128",-8.02595,37.338,3.09556238888889
"icr021129",-8.02595,37.338,3.09556238888889
"icr021131",-8.02938,37.3361,3.09556238888889
"icr021132",-8.02951,37.3383,3.09556238888889
"icr021133",-8.02338,37.3321,3.25532059027778
"icr021134",-8.02338,37.3321,3.25532059027778
"icr021136",-8.02358,37.3322,3.25532059027778
"icr021139",-8.02783,37.3372,3.09556238888889
"icr021142",-8.00446,37.3285,3.25532059027778
"icr021143",-8.00877,37.3322,3.25532059027778
"icr021144",-8.00049,37.3335,3.09556238888889
"icr021145",-8.00003,37.3329,3.25532059027778
"icr021147",-7.99942,37.3305,3.48324763888889
"icr021152",-8.00216,37.3274,3.25532059027778
"icr021153",-8.00216,37.3274,3.25532059027778
"icr021155",-8.00326,37.3349,3.09556238888889
"icr024866",-6.93032,34.1781,3.12180023611111
"icr024869",-6.92843,34.1724,3.12180023611111
"icr024870",-6.92387,34.1778,3.12180023611111
"icr024871",-6.92877,34.1725,3.12180023611111
"icr024876",-6.93113,34.1754,3.12180023611111
"icr024877",-6.93113,34.1754,3.12180023611111
"icr024882",-6.90181,34.1802,3.15783179861111
"icr024883",-6.90269,34.1776,3.15783179861111
"icr024884",-6.90269,34.1776,3.15783179861111
"icr024885",-6.90132,34.1829,3.15783179861111
"icr024887",-6.90435,34.1765,3.15783179861111
"icr024889",-6.90238,34.1749,3.15783179861111
"icr024891",-6.90526,34.1766,3.15783179861111
"icr024894",-6.90256,34.1742,3.15783179861111
"icr024901",-6.88427,34.1777,3.15783179861111
"icr024918",-6.86511,34.1817,3.15783179861111
"icr024923",-6.86164,34.1785,3.15783179861111
"icr024924",-6.86164,34.1785,3.15783179861111
"icr024925",-6.86385,34.1802,3.15783179861111
"icr024928",-6.86402,34.177,3.15783179861111
"icr024930",-6.86145,34.1794,3.15783179861111
"icr024931",-6.86052,34.1793,3.15783179861111
"icr024932",-6.86052,34.1793,3.15783179861111
"icr024934",-6.8572,34.1777,3.15783179861111
"icr024935",-6.86139,34.1832,3.15783179861111
"icr024936",-6.86139,34.1832,3.15783179861111
"icr024950",-6.93388,34.1964,3.12180023611111
"icr024956",-6.91007,34.1925,3.15783179861111
"icr024957",-6.91007,34.1925,3.15783179861111
"icr024959",-6.90508,34.1918,3.15783179861111
"icr024960",-6.90438,34.1928,3.15783179861111
"icr024961",-6.90438,34.1928,3.15783179861111
"icr024963",-6.90306,34.1929,3.15783179861111
"icr024969",-6.90731,34.1937,3.15783179861111
"icr024973",-6.90722,34.1982,3.15783179861111
"icr024974",-6.90242,34.1973,3.15783179861111
"icr024975",-6.88064,34.2016,3.15783179861111
"icr024976",-6.87918,34.1931,3.15783179861111
"icr024977",-6.87918,34.1931,3.15783179861111
"icr024979",-6.8794,34.195,3.15783179861111
"icr024980",-6.87636,34.2004,3.15783179861111
"icr024981",-6.87636,34.2004,3.15783179861111
"icr024982",-6.88208,34.196,3.15783179861111
"icr024985",-6.87862,34.2004,3.15783179861111
"icr024986",-6.87862,34.2004,3.15783179861111
"icr024987",-6.88121,34.1991,3.15783179861111
"icr024988",-6.87793,34.2024,3.15783179861111
"icr024990",-6.88064,34.1978,3.15783179861111
"icr024991",-6.88064,34.1978,3.15783179861111
"icr024992",-6.85637,34.1983,3.15783179861111
"icr024993",-6.85431,34.1917,3.15783179861111
"icr024994",-6.85983,34.1945,3.15783179861111
